State,District,Year,Crime_Category,Crime_Category_Code,Total_Cases
Karnataka,Ramanagara,2022,IPC_BNS_Crimes,IPC,4155
Karnataka,Shivamogga,2022,IPC_BNS_Crimes,IPC,4591
Karnataka,Tumakuru,2022,IPC_BNS_Crimes,IPC,5520
Karnataka,Udupi,2022,IPC_BNS_Crimes,IPC,2342
Karnataka,Uttara Kannada,2022,IPC_BNS_Crimes,IPC,2323
Karnataka,Vijayanagara,2022,IPC_BNS_Crimes,IPC,1795
Karnataka,Vijayapura,2022,IPC_BNS_Crimes,IPC,2858
Karnataka,Yadgir,2022,IPC_BNS_Crimes,IPC,1316
Karnataka,Bagalkot,2023,IPC_BNS_Crimes,IPC,2317
Karnataka,Ballari,2023,IPC_BNS_Crimes,IPC,2053
Karnataka,Belagavi,2023,IPC_BNS_Crimes,IPC,6649
Karnataka,Bengaluru Rural,2023,IPC_BNS_Crimes,IPC,7568
Karnataka,Bengaluru Urban,2023,IPC_BNS_Crimes,IPC,41637
Karnataka,Bidar,2023,IPC_BNS_Crimes,IPC,3110
Karnataka,Chamarajanagara,2023,IPC_BNS_Crimes,IPC,1951
Karnataka,Chikkaballapura,2023,IPC_BNS_Crimes,IPC,2734
Karnataka,Chikkamagaluru,2023,IPC_BNS_Crimes,IPC,3036
Karnataka,Chitradurga,2023,IPC_BNS_Crimes,IPC,4367
Karnataka,Dakshina Kannada,2023,IPC_BNS_Crimes,IPC,3957
Karnataka,Davanagere,2023,IPC_BNS_Crimes,IPC,3755
Karnataka,Dharwad,2023,IPC_BNS_Crimes,IPC,3013
Karnataka,Gadag,2023,IPC_BNS_Crimes,IPC,1229
Karnataka,Hassan,2023,IPC_BNS_Crimes,IPC,5163
Karnataka,Haveri,2023,IPC_BNS_Crimes,IPC,2519
Karnataka,Kalaburagi,2023,IPC_BNS_Crimes,IPC,4667
Karnataka,Kodagu,2023,IPC_BNS_Crimes,IPC,1576
Karnataka,Kolar,2023,IPC_BNS_Crimes,IPC,3388
Karnataka,Koppal,2023,IPC_BNS_Crimes,IPC,1819
Karnataka,Mandya,2023,IPC_BNS_Crimes,IPC,4932
Karnataka,Mysuru,2023,IPC_BNS_Crimes,IPC,7095
Karnataka,Raichur,2023,IPC_BNS_Crimes,IPC,2642
Karnataka,Ramanagara,2023,IPC_BNS_Crimes,IPC,4163
Karnataka,Shivamogga,2023,IPC_BNS_Crimes,IPC,4654
Karnataka,Tumakuru,2023,IPC_BNS_Crimes,IPC,6440
Karnataka,Udupi,2023,IPC_BNS_Crimes,IPC,2444
Karnataka,Uttara Kannada,2023,IPC_BNS_Crimes,IPC,2460
Karnataka,Vijayanagara,2023,IPC_BNS_Crimes,IPC,1837
Karnataka,Vijayapura,2023,IPC_BNS_Crimes,IPC,3103
Karnataka,Yadgir,2023,IPC_BNS_Crimes,IPC,1442
Karnataka,Bagalkot,2024,IPC_BNS_Crimes,IPC,2219
Karnataka,Ballari,2024,IPC_BNS_Crimes,IPC,1997
Karnataka,Belagavi,2024,IPC_BNS_Crimes,IPC,6190
Karnataka,Bengaluru Rural,2024,IPC_BNS_Crimes,IPC,7636
Karnataka,Bengaluru Urban,2024,IPC_BNS_Crimes,IPC,34715
Karnataka,Bidar,2024,IPC_BNS_Crimes,IPC,2976
Karnataka,Chamarajanagara,2024,IPC_BNS_Crimes,IPC,2031
Karnataka,Chikkaballapura,2024,IPC_BNS_Crimes,IPC,2701
Karnataka,Chikkamagaluru,2024,IPC_BNS_Crimes,IPC,2649
Karnataka,Chitradurga,2024,IPC_BNS_Crimes,IPC,4426
Karnataka,Dakshina Kannada,2024,IPC_BNS_Crimes,IPC,3912
Karnataka,Davanagere,2024,IPC_BNS_Crimes,IPC,3146
Karnataka,Dharwad,2024,IPC_BNS_Crimes,IPC,2882
Karnataka,Gadag,2024,IPC_BNS_Crimes,IPC,1071
Karnataka,Hassan,2024,IPC_BNS_Crimes,IPC,5097
Karnataka,Haveri,2024,IPC_BNS_Crimes,IPC,2448
Karnataka,Kalaburagi,2024,IPC_BNS_Crimes,IPC,4425
Karnataka,Kodagu,2024,IPC_BNS_Crimes,IPC,1499
Karnataka,Kolar,2024,IPC_BNS_Crimes,IPC,3048
Karnataka,Koppal,2024,IPC_BNS_Crimes,IPC,1774
Karnataka,Mandya,2024,IPC_BNS_Crimes,IPC,4363
Karnataka,Mysuru,2024,IPC_BNS_Crimes,IPC,7408
Karnataka,Raichur,2024,IPC_BNS_Crimes,IPC,2798
Karnataka,Ramanagara,2024,IPC_BNS_Crimes,IPC,4010
Karnataka,Shivamogga,2024,IPC_BNS_Crimes,IPC,4588
Karnataka,Tumakuru,2024,IPC_BNS_Crimes,IPC,6352
Karnataka,Udupi,2024,IPC_BNS_Crimes,IPC,2707
Karnataka,Uttara Kannada,2024,IPC_BNS_Crimes,IPC,2577
Karnataka,Vijayanagara,2024,IPC_BNS_Crimes,IPC,1688
Karnataka,Vijayapura,2024,IPC_BNS_Crimes,IPC,3005
